,Date,Open,High,Low,Close
867,2015-10-29,103.96,105.12,103.52,104.88
866,2015-10-28,103.9,104.48,102.92,104.2
865,2015-10-27,102.94,104.1,102.4,103.7
864,2015-10-26,102.2,103.81,101.55,103.77
863,2015-10-23,101.91,102.85,100.16,102.19
862,2015-10-22,97.79,99.73,97.55,99.67
861,2015-10-21,97.37,98.18,96.47,97.11
860,2015-10-20,98.73,99.59,96.56,97.0
859,2015-10-19,97.18,98.57,96.92,98.47
858,2015-10-16,96.18,97.59,95.35,97.54
857,2015-10-15,94.99,96.3,94.9,95.96
856,2015-10-14,94.08,95.2,93.61,94.07
855,2015-10-13,93.66,95.37,93.55,94.12
854,2015-10-12,93.32,94.6,92.67,94.26
853,2015-10-09,92.9,93.74,92.239,93.24
852,2015-10-08,91.89,93.22,90.47,92.47
851,2015-10-07,93.11,93.66,91.37,92.4
850,2015-10-06,94.08,94.17,92.34,92.8
849,2015-10-05,92.94,94.27,92.66,94.01
848,2015-10-02,88.9,92.2,88.37,92.07
847,2015-10-01,90.05,90.95,88.36,90.95
846,2015-09-30,88.44,90.02,88.01,89.9
845,2015-09-29,89.1,90.06,85.72,86.67
844,2015-09-28,92.08,92.29,88.18,89.21
843,2015-09-25,95.79,95.85,92.06,92.77
842,2015-09-24,93.06,94.765,92.24,94.41
841,2015-09-23,93.4,94.32,92.8,93.97
840,2015-09-22,93.77,94.68,91.92,92.96
839,2015-09-21,94.62,96.49,94.52,95.55
838,2015-09-18,93.2,95.19,93.05,94.4
837,2015-09-17,93.37,95.51,92.9,94.34
836,2015-09-16,92.9,93.6,92.63,93.45
835,2015-09-15,92.37,93.25,91.79,92.9
834,2015-09-14,92.31,92.62,91.6,92.31
833,2015-09-11,91.68,92.08,91.13,92.05
832,2015-09-10,90.07,92.06,89.63,91.98
831,2015-09-09,90.78,91.98,90.17,90.44
830,2015-09-08,89.69,90.24,88.83,89.53
829,2015-09-04,87.2,88.39,86.7,88.26
828,2015-09-03,89.76,89.82,87.73,88.15
827,2015-09-02,88.82,89.89,87.63,89.89
826,2015-09-01,86.99,89.39,86.5,87.23
825,2015-08-31,90.59,91.05,88.89,89.43
824,2015-08-28,89.94,91.48,89.792,91.01
823,2015-08-27,89.19,90.06,87.19,89.73
822,2015-08-26,85.95,87.46,83.26,87.19
821,2015-08-25,86.95,87.67,83.0,83.0
820,2015-08-24,77.03,87.14,72.0,82.09
819,2015-08-21,87.52,89.18,85.61,86.06
818,2015-08-20,93.54,94.77,90.46,90.56
817,2015-08-19,94.63,96.1,94.161,95.31
816,2015-08-18,94.08,95.85,94.04,95.17
815,2015-08-17,94.42,94.46,93.39,93.93
814,2015-08-14,93.54,94.72,93.21,94.42
813,2015-08-13,94.05,94.73,93.35,93.43
812,2015-08-12,92.7,94.44,91.19,94.19
811,2015-08-11,93.73,94.76,92.9006,93.62
810,2015-08-10,95.68,95.9,93.63,94.15
809,2015-08-07,95.38,95.4,93.61,94.3
808,2015-08-06,97.18,98.74,94.42,95.12
807,2015-08-05,95.25,97.09,95.18,96.44
806,2015-08-04,93.79,94.73,93.33,94.06
805,2015-08-03,93.53,95.08,92.8,94.14
804,2015-07-31,94.95,96.33,93.95,94.01
803,2015-07-30,94.91,95.81,91.8,95.21
802,2015-07-29,96.32,97.28,94.74,96.99
801,2015-07-28,94.84,95.56,93.31,95.29
800,2015-07-27,96.58,96.61,93.8301,94.17
799,2015-07-24,97.35,97.76,95.88,96.95
798,2015-07-23,96.96,97.45,94.81,95.44
797,2015-07-22,96.74,97.58,95.92,97.04
796,2015-07-21,98.95,99.24,97.1427,98.39
795,2015-07-20,95.85,98.6,95.36,97.91
794,2015-07-17,92.55,95.39,92.54,94.97
793,2015-07-16,90.28,90.86,89.77,90.85
792,2015-07-15,90.0,90.99,89.42,89.76
791,2015-07-14,90.46,90.8,89.65,89.68
790,2015-07-13,88.66,90.22,88.42,90.1
789,2015-07-10,87.35,88.22,86.77,87.95
788,2015-07-09,86.73,87.6,85.6499,85.88
787,2015-07-08,86.29,86.75,85.445,85.65
786,2015-07-07,87.8,87.85,85.231,87.22
785,2015-07-06,86.49,88.1846,86.39,87.55
784,2015-07-02,87.4,87.44,86.3401,87.285
783,2015-07-01,86.77,87.95,86.49,86.91
782,2015-06-30,86.6,86.7,85.57,85.765
781,2015-06-29,86.61,87.5,85.73,85.8
780,2015-06-26,88.12,88.34,86.8283,88.01
779,2015-06-25,89.26,89.4,87.835,87.98
778,2015-06-24,87.66,89.25,87.45,88.86
777,2015-06-23,84.96,87.97,84.76,87.88
776,2015-06-22,83.41,84.97,83.31,84.74
775,2015-06-19,82.83,82.98,82.12,82.51
774,2015-06-18,81.64,83.19,81.57,82.905
773,2015-06-17,81.76,82.22,81.34,81.79
772,2015-06-16,80.82,81.51,80.45,81.06
771,2015-06-15,80.55,80.93,80.07,80.71
770,2015-06-12,81.37,82.09,81.2,81.53
769,2015-06-11,82.31,82.9,81.36,81.83
768,2015-06-10,80.83,82.6,80.81,82.16
767,2015-06-09,80.6,81.19,79.32,80.67
766,2015-06-08,81.82,82.0,80.13,80.67
765,2015-06-05,81.87,82.46,81.51,82.14
764,2015-06-04,82.14,82.95,81.51,82.05
763,2015-06-03,81.35,82.53,81.25,82.44
762,2015-06-02,79.76,81.35,79.56,80.445
761,2015-06-01,79.3,80.38,78.66,80.29
760,2015-05-29,79.95,80.07,78.88,79.19
759,2015-05-28,80.25,81.0745,80.0,80.145
758,2015-05-27,79.6,80.66,79.43,80.55
757,2015-05-26,80.43,80.6,79.08,79.335
756,2015-05-22,80.35,81.31,80.25,80.54
755,2015-05-21,80.19,80.92,80.08,80.48
754,2015-05-20,80.47,81.1,79.46,80.55
753,2015-05-19,81.25,81.69,80.55,80.63
752,2015-05-18,80.33,81.38,80.23,80.88
751,2015-05-15,81.41,81.52,80.18,80.42
750,2015-05-14,78.94,81.845,78.67,81.37
749,2015-05-13,77.72,78.53,77.65,78.44
748,2015-05-12,77.87,77.89,76.79,77.46
747,2015-05-11,78.48,79.03,77.93,78.01
746,2015-05-08,79.1,79.23,78.03,78.51
745,2015-05-07,78.0,78.94,77.56,78.425
744,2015-05-06,77.97,78.81,77.05,78.1
743,2015-05-05,78.55,78.8,77.22,77.56
742,2015-05-04,79.33,79.69,78.6301,78.81
741,2015-05-01,79.24,79.76,78.11,78.99
740,2015-04-30,80.01,80.96,78.32,78.77
739,2015-04-29,80.01,81.39,79.52,80.465
738,2015-04-28,81.83,81.9,80.23,80.68
737,2015-04-27,81.87,82.93,81.63,81.91
736,2015-04-24,82.77,82.94,81.48,81.53
735,2015-04-23,84.1,85.59,82.41,82.41
734,2015-04-22,84.32,84.74,83.65,84.63
733,2015-04-21,84.0,84.49,83.54,83.62
732,2015-04-20,81.54,83.15,81.24,83.09
731,2015-04-17,81.48,82.11,80.37,80.775
730,2015-04-16,82.47,83.07,82.15,82.31
729,2015-04-15,83.55,83.66,82.27,82.705
728,2015-04-14,83.17,83.69,82.44,83.515
727,2015-04-13,81.93,83.94,81.92,83.01
726,2015-04-10,82.21,82.61,81.91,82.04
725,2015-04-09,82.5,82.8,81.71,82.17
724,2015-04-08,82.63,83.1,81.84,82.275
723,2015-04-07,82.65,83.42,82.22,82.32
722,2015-04-06,80.8,82.81,80.8,82.44
721,2015-04-02,82.25,82.56,81.44,81.555
720,2015-04-01,82.5,82.72,80.87,81.665
719,2015-03-31,82.9,83.5,82.21,82.215
718,2015-03-30,83.81,84.34,82.41,83.195
717,2015-03-27,83.38,83.95,82.88,83.3
716,2015-03-26,82.72,83.77,82.14,83.01
715,2015-03-25,85.5,85.52,82.92,82.92
714,2015-03-24,84.71,86.0699,84.52,85.31
713,2015-03-23,83.92,84.96,83.3,84.43
712,2015-03-20,83.39,84.6,83.07,83.8
711,2015-03-19,81.12,83.0,81.0,82.75
710,2015-03-18,79.25,81.24,79.17,80.91
709,2015-03-17,78.36,79.78,78.34,79.365
708,2015-03-16,77.96,78.12,77.36,78.07
707,2015-03-13,78.6,79.38,77.68,78.05
706,2015-03-12,78.1,79.05,77.91,78.93
705,2015-03-11,77.8,78.43,77.26,77.57
704,2015-03-10,78.5,79.26,77.55,77.55
703,2015-03-09,79.68,79.91,78.63,79.44
